model,accuracy,precision,recall,f1,roc_auc
logistic,0.8524590163934426,0.8529411764705882,0.8787878787878788,0.8656716417910447,0.8971861471861471
decision_tree,0.7213114754098361,0.7352941176470589,0.7575757575757576,0.746268656716418,0.7180735930735931
random_forest,0.7540983606557377,0.725,0.8787878787878788,0.7945205479452054,0.8917748917748918
neural_net,0.819672131147541,0.7894736842105263,0.9090909090909091,0.8450704225352113,0.8971861471861472
