feature,importance
thal_2,0.13451002673874207
cp_0,0.11177582325809267
thal_3,0.1001263090919703
thalach,0.0951878834045156
oldpeak,0.08417009289027898
ca_0,0.05803975082179279
age,0.04736156215757401
chol,0.046287125606491085
trestbps,0.04430834182992762
exang_0,0.04367164335222692
exang_1,0.03989968183964574
slope_2,0.03640604568361759
cp_2,0.01908533829597659
sex_0,0.017934424315739144
ca_1,0.017506988863678557
